designation,    rho,    P_high
Gaia DR3 388856202858272128 , 285.4414881062292 , 0.6341516053923626
Gaia DR3 391713764858727040 , 100.54654111921121 , 0.1172058400903207
Gaia DR3 391713764859525248 , 92.56899121877166 , 0.12112288477350334
Gaia DR3 391722256012598784 , 1946.083795309936 , 0.9701894944984317
Gaia DR3 391307396531931008 , 2540.2644678842325 , 0.9783140534292593
Gaia DR3 391754691605326208 , 229.68445186147167 , 0.4743836320819794
Gaia DR3 391756993707759872 , 72.28486383485321 , 0.17409600711324508
Gaia DR3 391434252685700736 , 283.61707180142776 , 0.7875245071434693
Gaia DR3 391850280396517632 , None , None
Gaia DR3 389156820506954624 , None , None
Gaia DR3 390794508717285632 , 254.9052988165621 , 0.7266486327841446
Gaia DR3 391975659082049792 , 15.34616822826894 , 2.1189192486628213e-07
Gaia DR3 2805920074555454208 , 33.549792321912584 , 0.005962695251670019
Gaia DR3 2805926224949096960 , 223.0304834489641 , 0.5803233767887562
Gaia DR3 2802397960855105920 , 255.8462698603304 , 0.49581442524237995
Gaia DR3 2806000785581376384 , 88.1951043141022 , 0.13338029770222298
Gaia DR3 2809227646050577024 , 435.13753922102745 , 0.9431388106675027
Gaia DR3 2806028513890183936 , 140.38805718735296 , 0.38066244653489406
Gaia DR3 2802500730832591104 , 333.5205752432963 , 0.8644459992929336
Gaia DR3 2802500730832591360 , 268.3170383836939 , 0.6336616558498125
Gaia DR3 2806068371186813696 , 480.80452285286293 , 0.958918708570637
Gaia DR3 2802712592979342208 , None , None
Gaia DR3 2809476101318716416 , 168.9654664803731 , 0.45626563781217844
Gaia DR3 2806279443059663872 , None , None
Gaia DR3 2802808559728492288 , 321.5499270957944 , 0.7694002799218832
Gaia DR3 2806408429517382656 , None , None
Gaia DR3 2809648754708873600 , 170.64343192305674 , 0.5407829718532253
Gaia DR3 2809649033881913984 , 164.85531717593972 , 0.3926352014117469
Gaia DR3 2806810369736786816 , 327.77144754678693 , 0.7173875530178965
Gaia DR3 2806928739035576320 , 74.45342558813307 , 0.01963859799174449
Gaia DR3 2806958627712891392 , 44.4603938720938 , 0.027880721766068563
Gaia DR3 2807050922265173248 , 558.3307735237722 , 0.8406485987594464
Gaia DR3 2807087618465635968 , 870.5843412320207 , 0.9359625622221406
Gaia DR3 2807361774817462912 , 1269.8333304460364 , 0.9492214058291748
Gaia DR3 2807363252286826880 , 1037.6689294054277 , 0.9492402821469736
Gaia DR3 2807379298285341696 , 762.4368304757543 , 0.9740527411633918
Gaia DR3 2807456779494620928 , 226.68144166859346 , 0.5784974973508972
Gaia DR3 2807539376010425728 , 2145.498665485402 , 0.9950947360615797
Gaia DR3 2807539376016115584 , 2142.2816655087954 , 0.9834007043393627
Gaia DR3 2807540170579701120 , 2100.5755302498146 , 0.973194086266399
Gaia DR3 2807615001794258688 , 1015.1341818937943 , 0.974307964752309
Gaia DR3 2807615109169303680 , 9.134564690431507 , 1.326978775533441e-05
Gaia DR3 2807673417645121408 , 215.4521953095053 , 0.580191855296707
Gaia DR3 2807687883095124992 , 441.12509189816274 , 0.8208477954181417
Gaia DR3 2807746397729395968 , 225.06050323114204 , 0.3796052448321224
Gaia DR3 2807838241310095104 , 98.81227195742383 , 0.11120259551882207
Gaia DR3 2807991623182114688 , 497.3272630744186 , 0.8372598964648307
Gaia DR3 2794967667433081984 , 642.25325611113 , 0.9748554670916361
Gaia DR3 2795033088374832512 , 86.01746353398008 , 0.23854662808718435
Gaia DR3 2782403101385639168 , 39.51631018614554 , 0.002984258600649868
Gaia DR3 2782423820307949952 , 380.5649352148422 , 0.8129877478210241
Gaia DR3 2795074045183506304 , 56.522583916031536 , 0.03037325220949771
Gaia DR3 2782486836068110464 , 135.9258739254998 , 0.27994193440969317
Gaia DR3 2782515732608032128 , 1223.9394630248514 , 0.9936120990141077
Gaia DR3 2795176123670127488 , 171.1227416602933 , 0.4668240067956142
Gaia DR3 2795375689326196864 , 1316.6047396394392 , 0.9878770751993479
Gaia DR3 2795385138254229760 , 625.0836533122161 , 0.8074166841362503
Gaia DR3 2795445095997674752 , 18.865004831402153 , 0.004485049815156157
Gaia DR3 2799000160687558144 , 305.1727857473902 , 0.8431929236473412
Gaia DR3 2799053590080742912 , 1958.5708916120225 , 0.9930067373272772
Gaia DR3 2799053590081266560 , 2070.5257414834064 , 0.9527165016062418
Gaia DR3 2799119453403880960 , 218.05078871575208 , 0.6584378300378687
Gaia DR3 2795637441812939520 , 161.6478112208604 , 0.26916398751241494
Gaia DR3 2795672587529629952 , 342.7023398552085 , 0.8536585832894733
Gaia DR3 2795718118478658304 , 1247.038684591343 , 0.9523529616421853
Gaia DR3 2799227106759461888 , 919.2212116052094 , 0.933064069080636
Gaia DR3 2795758010135479936 , 3.254603481849447 , 2.78732508765575e-07
Gaia DR3 2799268578963728256 , 0.5701292940200741 , 3.521528448783737e-14
Gaia DR3 2799307474187562624 , 9.351999696189338 , 8.135590731152689e-05
Gaia DR3 2799321630399767040 , None , None
Gaia DR3 2795885931440878976 , 28.851609144503367 , 0.010538034029065113
Gaia DR3 2795918538832477696 , 440.0239000848288 , 0.9054476490573189
Gaia DR3 2779303814329612672 , 1614.5406217823277 , 0.9842481863481012
Gaia DR3 2795969936706215296 , 560.6415083809055 , 0.9765427225912053
Gaia DR3 2795969941001054720 , 640.8311531365194 , 0.9807955309996454
Gaia DR3 2779388446660787584 , 995.569850581498 , 0.9903848386206542
Gaia DR3 2796031822889944576 , 275.588089607899 , 0.7027925059166259
Gaia DR3 2799491985982491264 , 653.7864445100086 , 0.9068604935112355
Gaia DR3 2796096109960502400 , 4.270558478115095 , 1.3064814976221718e-05
Gaia DR3 2779588179819883904 , 1545.539470379802 , 0.9922318307154501
Gaia DR3 2799623480701216512 , 11.649544586720788 , 0.0007395648448090546
Gaia DR3 2796222107121160960 , 398.24575020467773 , 0.761740171667144
Gaia DR3 2796224095692532096 , 220.38543705448504 , 0.6893678644047206
Gaia DR3 2792262456511221504 , 107.79062799309324 , 0.26321068347426385
Gaia DR3 2792263865260986752 , 76.33597674911924 , 0.05444911537589786
Gaia DR3 2792264999132382976 , 168.45249286922365 , 0.742619792904738
Gaia DR3 2779701670035757312 , 645.6720469006565 , 0.8985220153326027
Gaia DR3 2779731489993004288 , 1108.4958592097316 , 0.9402153186355415
Gaia DR3 2779735819320035840 , 3277.9039340176914 , 0.988334058961612
Gaia DR3 2779735823615714176 , 3319.3911573564164 , 0.988585799824135
Gaia DR3 2799715255562477696 , 349.19097744275814 , 0.9484423810018546
Gaia DR3 2796314053780914432 , None , None
Gaia DR3 2779799522274982272 , 1229.5826053653784 , 0.972657820942103
Gaia DR3 2779801038399084800 , 660.3835271094903 , 0.9337557927287243
Gaia DR3 2792368628103287552 , 332.40053599440546 , 0.8168970819412711
Gaia DR3 2792394844583631488 , 1756.888146190559 , 0.9718941563978736
Gaia DR3 2779842579322831104 , None , None
Gaia DR3 2796445956520807424 , 2402.570994861664 , 0.9762947028338711
Gaia DR3 2779966480539436416 , 165.37912399980587 , 0.612419332339299
Gaia DR3 2799916741068160896 , 212.29316268906132 , 0.6245368596362214
Gaia DR3 2792563894496829696 , 2267.5440674790484 , 0.973266858408479
Gaia DR3 2799941239561695488 , 8.990496159299928 , 2.1776231781123475e-05
Gaia DR3 2780068941279123712 , 196.5342634693708 , 0.8493129292436431
Gaia DR3 2792669550691942784 , 277.0630593159466 , 0.6822337217100378
Gaia DR3 2796640299496861440 , 76.79804313156369 , 0.3378666053970192
Gaia DR3 2800051431241967488 , 2.7102607854123155 , 4.858312916233698e-07
Gaia DR3 2792743699007282432 , 249.1204972293572 , 0.6169860073665631
Gaia DR3 2792745554433153792 , 90.81726000664767 , 0.14092779370619068
Gaia DR3 2796706682511270016 , None , None
Gaia DR3 2780300628995017600 , 7.058102806660468 , 8.151555900396827e-09
Gaia DR3 2780347152080719872 , 75.58214279023308 , 0.06963471147226498
Gaia DR3 2792881000522281984 , 1486.696017713243 , 0.926312921840704
Gaia DR3 2780399481962288256 , 354.4014146622314 , 0.8625181542945625
Gaia DR3 2780431333439677952 , 273.50108519086217 , 0.631097892286064
Gaia DR3 2780476172898303744 , 112.23248135697975 , 0.2716815720523889
Gaia DR3 2780554684900462592 , 822.4740285625801 , 0.9374869421026009
Gaia DR3 2780561556848136704 , 372.7580831674767 , 0.7725578020077193
Gaia DR3 2793133819476751104 , 29.844167268150837 , 0.002428541911491033
Gaia DR3 2780637698028307200 , 186.2430331357167 , 0.28332879693115753
Gaia DR3 2793140347827089792 , 45.0217864159234 , 0.005256146651855082
Gaia DR3 2793182094909155584 , 1387.1058113388424 , 0.9231748199976558
Gaia DR3 2780742151633298176 , 963.9046625180849 , 0.9897222839119948
Gaia DR3 2793223945070580096 , 277.5023366648525 , 0.8020838541840019
Gaia DR3 2793300051891048448 , 66.79997515560672 , 0.07961056380543283
Gaia DR3 2780964734018270080 , 47.1049855858637 , 0.0020394644968645907
Gaia DR3 2800690281858225408 , 141.33069388854412 , 0.2655530778165964
