target,    dr2id,    dr3id
HD 32963 , Gaia DR2 3421680597955802624 , Gaia DR3 3421680597955802624
WTS-2 , Gaia DR2 2048563889694771200 , Gaia DR3 2048563889694771200
WASP-136 , Gaia DR2 2441013811932929280 , Gaia DR3 2441013811932929280
HATS-59 , Gaia DR2 3538256769264276480 , Gaia DR3 3538256769264276480
HD 210193 , Gaia DR2 6570039342736534784 , Gaia DR3 6570039342736534784
K2-77 , Gaia DR2 37619725922094336 , Gaia DR3 37619725922094336
Kepler-1976 , Gaia DR2 2129671220332872192 , Gaia DR3 2129671220332872192
HD 52265 , Gaia DR2 3101382419728401408 , Gaia DR3 3101382419728401408
Kepler-1692 , Gaia DR2 2130641436264397568 , Gaia DR3 2130641436264397568
TOI-564 , Gaia DR2 5710154317045164416 , Gaia DR3 5710154317045164416
Kepler-993 , Gaia DR2 2126373303927596160 , Gaia DR3 2126373303927596160
TOI-1634 , Gaia DR2 223158499179138432 , Gaia DR3 223158499179138432
TOI-2545 , Gaia DR2 5762607889340459008 , Gaia DR3 5762607889340459008
TOI-954 , Gaia DR2 4890874702443960832 , Gaia DR3 4890874702443960832
OGLE-2017-BLG-1099L , None , None
OGLE-2019-BLG-1492L , None , None
KMT-2016-BLG-2364L , None , None
CoRoT-7 , Gaia DR2 3107267177757848576 , Gaia DR3 3107267177757848576
K2-128 , Gaia DR2 3618386664139093504 , Gaia DR3 3618386664139093504
HD 113996 , Gaia DR2 1460876573902016768 , Gaia DR3 1460876573902483328
GJ 341 , Gaia DR2 5299440441521812992 , Gaia DR3 5299440441521812992
K2-179 , Gaia DR2 65797082206292224 , Gaia DR3 65797082206292224
Kepler-1391 , Gaia DR2 2128514431022374144 , Gaia DR3 2128514431022374144
Kepler-1398 , Gaia DR2 2128776801985730048 , Gaia DR3 2128776801985730048
HD 1397 , Gaia DR2 4707634458245031552 , Gaia DR3 4707634458245031552
Kepler-1640 , None , None
Kepler-1525 , Gaia DR2 2130033097097486336 , Gaia DR3 2130033097097486336
Kepler-1796 , Gaia DR2 2081915204099064960 , Gaia DR3 2081915204099064960
Kepler-1920 , Gaia DR2 2052942900903300352 , Gaia DR3 2052942900903300352
HD 164604 , Gaia DR2 4062446910648807168 , Gaia DR3 4062446910648807168
Kepler-1384 , Gaia DR2 2073299327909532928 , Gaia DR3 2073299327911286144
Kepler-1497 , Gaia DR2 2080188249284118528 , Gaia DR3 2080188249284118528
Kepler-572 , Gaia DR2 2130168405747219072 , Gaia DR3 2130168405747219072
Kepler-1932 , Gaia DR2 2103829913941569664 , Gaia DR3 2103829913941569664
HD 6434 , Gaia DR2 4988158666635743616 , Gaia DR3 4988158666636598272
HD 125595 , Gaia DR2 6104435819513399168 , Gaia DR3 6104435819513399168
HD 63765 , Gaia DR2 5488567574038257280 , Gaia DR3 5488567574038257280
Kepler-640 , Gaia DR2 2077119748545602304 , Gaia DR3 2077119748545602304
V1298 Tau , Gaia DR2 51886335968692480 , Gaia DR3 51886335968692480
K2-281 , Gaia DR2 2577432178095422976 , Gaia DR3 2577432178095422976
Kepler-1856 , Gaia DR2 2135692661402242176 , Gaia DR3 2135692661402242176
Kepler-654 , Gaia DR2 2080353416547448320 , Gaia DR3 2080353416547448320
TOI-1811 , Gaia DR2 3962403923821595264 , Gaia DR3 3962403923821595264
TOI-813 , Gaia DR2 4665704096987467776 , Gaia DR3 4665704096987467776
K2-227 , Gaia DR2 3675261140764265728 , Gaia DR3 3675261140764265728
Kepler-878 , Gaia DR2 2107313098057987712 , Gaia DR3 2107313098057987712
HD 147018 , Gaia DR2 5831054382288870912 , Gaia DR3 5831054382288870912
Kepler-1278 , Gaia DR2 2104972581400204672 , Gaia DR3 2104972581400204672
Kepler-1759 , Gaia DR2 2086879189856001024 , Gaia DR3 2086879189856001024
HD 1690 , Gaia DR2 2430036837596487424 , Gaia DR3 2430036837596487424
HD 96700 , Gaia DR2 5452492082132835840 , Gaia DR3 5452492082132835840
K2-59 , Gaia DR2 2597903091739512320 , Gaia DR3 2597903091739512320
Kepler-963 , Gaia DR2 2079728790863754752 , Gaia DR3 2079728790863754752
Kepler-1889 , Gaia DR2 2076787116226614272 , Gaia DR3 2076787116226614272
WASP-126 , Gaia DR2 4666498154837086208 , Gaia DR3 4666498154837086208
WASP-57 , Gaia DR2 6340377202215639936 , Gaia DR3 6340377202215639936
WASP-157 , Gaia DR2 3630269399833507200 , Gaia DR3 3630269399833507200
K2-283 , Gaia DR2 2581916673708201216 , Gaia DR3 2581916673708201216
Kepler-1129 , Gaia DR2 2101651781408908160 , Gaia DR3 2101651781408908160
TOI-4145 A , None , None
HD 147513 , Gaia DR2 6018047019138644480 , Gaia DR3 6018047019138644480
HD 207832 , Gaia DR2 6812056381881853056 , Gaia DR3 6812056381881853056
K2-407 , Gaia DR2 6239581123010344960 , Gaia DR3 6239581123010344960
Kepler-1928 , Gaia DR2 2052827207364859264 , Gaia DR3 2052827207364859264
omi CrB , Gaia DR2 1275235752223276288 , Gaia DR3 1275235752223276288
OGLE-2013-BLG-0911L , None , None
Kepler-5 , Gaia DR2 2079018300195390464 , Gaia DR3 2079018300195390464
Kepler-1950 , Gaia DR2 2105573945541164544 , Gaia DR3 2105573945541164544
WASP-87 , Gaia DR2 6077185317188247936 , Gaia DR3 6077185317188247936
Kepler-198 , Gaia DR2 2052852912747829760 , Gaia DR3 2052852912747829760
WASP-53 , Gaia DR2 5136559128264765184 , Gaia DR3 5136559128264765184
TOI-1062 , Gaia DR2 4632865331094140928 , Gaia DR3 4632865331094140928
Kepler-778 , Gaia DR2 2106046632461881856 , Gaia DR3 2106046632461881856
EPIC 220492298 , None , Gaia DR3 2576563907506735232
Kepler-1937 , Gaia DR2 2101567359532639872 , Gaia DR3 2101567359532639872
KIC 5479689 , Gaia DR2 2075056519291867648 , Gaia DR3 2075056519291867648
NGTS-30 , Gaia DR2 3533836281547278848 , Gaia DR3 3533836281547278848
K2-83 , Gaia DR2 40139531695379328 , Gaia DR3 40139531695379328
Kepler-223 , Gaia DR2 2086337508581280256 , Gaia DR3 2086337508581280256
Kepler-132 , Gaia DR2 2104466256290759936 , Gaia DR3 2104466256290759936
K2-369 , Gaia DR2 2616766622463761024 , Gaia DR3 2616766622463761024
HD 102956 , Gaia DR2 845335158256083584 , Gaia DR3 845335158256083584
Kepler-1626 , Gaia DR2 2076748083562850560 , Gaia DR3 2076748083562850560
Kepler-1776 , Gaia DR2 2129103700534539136 , Gaia DR3 2129103700534539136
Kepler-716 , Gaia DR2 2126073961886389888 , Gaia DR3 2126073961886389888
TYC 3318-01333-1 , Gaia DR2 439327810962983424 , Gaia DR3 439327810962983424
KMT-2019-BLG-1715L , None , None
TOI-3807 , Gaia DR2 1117620107545810944 , Gaia DR3 1117620107545810944
Kepler-1696 , Gaia DR2 2077107211548933504 , Gaia DR3 2077107211548933504
Kepler-194 , Gaia DR2 2129234336259850240 , Gaia DR3 2129234336259850240
24 Sex , Gaia DR2 3830897080395058048 , Gaia DR3 3830897080395058048
HAT-P-35 , Gaia DR2 3094733088793018240 , Gaia DR3 3094733088793018240
Kepler-1121 , Gaia DR2 2086505630781210752 , Gaia DR3 2086505630781210752
HD 20003 , Gaia DR2 4642472794978268800 , Gaia DR3 4642472794978268800
HD 56414 , Gaia DR2 5268547016621360768 , Gaia DR3 5268547016621360768
Kepler-1021 , Gaia DR2 2077902914366974464 , Gaia DR3 2077902914366974464
K2-343 , Gaia DR2 685818492336147072 , Gaia DR3 685818492336147072
Kepler-78 , Gaia DR2 2078373642776670080 , Gaia DR3 2078373642776670080
OGLE-2019-BLG-1053L , None , None
Kepler-153 , Gaia DR2 2119711156811669120 , Gaia DR3 2119711156811669120
Kepler-386 , Gaia DR2 2129492824571882240 , Gaia DR3 2129492824571882240
K2-53 , Gaia DR2 6244643373326639360 , Gaia DR3 6244643373326639360
HD 136418 , Gaia DR2 1392396172224832896 , Gaia DR3 1392396172224832896
Kepler-53 , Gaia DR2 2101188990094347648 , Gaia DR3 2101188990094347648
WASP-172 , Gaia DR2 6086712585429729536 , Gaia DR3 6086712585429729536
Kepler-1981 , Gaia DR2 2099583977992504576 , Gaia DR3 2099583977992504576
Kepler-1471 , Gaia DR2 2133035966431029376 , Gaia DR3 2133035966431029376
HATS-30 , Gaia DR2 4906145613282734208 , Gaia DR3 4906145613282734208
HD 45652 , Gaia DR2 3327980255695313792 , Gaia DR3 3327980255695313792
OGLE-2018-BLG-1011L , None , None
OGLE-2011-BLG-0251L , Gaia DR2 4060936147354925056 , Gaia DR3 4060936147354925056
b Cen A , None , None
