designation,    u,    v,    w
Gaia DR3 391713764859525248,-34.706811047013865,60.535374683114604,-15.38955884330607
Gaia DR3 391722256012598784,-16.573606041189713,28.92163780142376,-7.251568127584202
Gaia DR3 391307396531931008,-26.505404003256857,45.109714268367824,-13.01804855779299
Gaia DR3 391754691605326208,-21.728082430550863,38.43584686652861,-9.58803290242557
Gaia DR3 391756993707759872,-33.76904663010667,60.04074708249844,-14.896853006130634
Gaia DR3 391434252685700736,-30.848762661960688,51.817948266958965,-14.137827490493365
Gaia DR3 391850280396517632,-28.13272751099158,53.242031529014554,-18.49589437851034
Gaia DR3 389156820506954624,-37.81851281557374,65.56654156771353,-22.817693005366745
Gaia DR3 390794508717285632,-29.817148738783555,51.74517006719973,-16.327039163585383
Gaia DR3 391975659082049792,-21.671525823706943,41.25261154742374,-13.667644418456362
Gaia DR3 2805920074555454208,-19.25796223557981,34.961398971347116,-33.1006700689163
Gaia DR3 2805926224949096960,-23.409055735428066,42.448188090114314,-40.03314827388739
Gaia DR3 2802397960855105920,-4.052717100748188,7.260473393174781,-7.365442610187156
Gaia DR3 2806000785581376384,-19.133587456521717,34.69425857911915,-32.205880982767184
Gaia DR3 2809227646050577024,-29.10837101869741,51.185469193637445,-42.87315085207259
Gaia DR3 2806028513890183936,-12.616437576002355,25.142297836491608,-23.477371001499332
Gaia DR3 2802500730832591104,-18.012005382639558,32.0697686959997,-31.862301004428076
Gaia DR3 2802500730832591360,-18.066536847017055,32.167456601649484,-31.95985998323983
Gaia DR3 2806068371186813696,-23.841479827119336,45.96898280002061,-42.65388760863229
Gaia DR3 2802712592979342208,-28.64841130156738,52.36133758801157,-51.18511366848651
Gaia DR3 2809476101318716416,-24.85961285236271,45.60804083504225,-37.17907633001446
Gaia DR3 2806279443059663872,-27.844167391223156,52.43152390140097,-47.270695668605256
Gaia DR3 2802808559728492288,-20.96435159904305,37.53859746478765,-36.616853898817176
Gaia DR3 2806408429517382656,-25.21924466840352,45.695025646708196,-41.65698332778763
Gaia DR3 2809648754708873600,-22.736216172406635,39.752887710021994,-31.782604257929624
Gaia DR3 2809649033881913984,-22.549118593608675,39.46225923730971,-31.51807262235434
Gaia DR3 2806810369736786816,-21.285869877618538,37.80166942083595,-33.30173724410885
Gaia DR3 2806928739035576320,-12.405755927537363,25.052511878521976,-22.26160941224437
Gaia DR3 2806958627712891392,-19.109740154838796,39.90315824904661,-35.33714649334894
Gaia DR3 2807050922265173248,-21.838236937530198,42.31227185934354,-37.391379034984226
Gaia DR3 2807087618465635968,-24.599111195946442,49.316023343300444,-43.13533078456889
Gaia DR3 2807361774817462912,-24.2754687404905,49.85422699832171,-42.54859793016149
Gaia DR3 2807363252286826880,-24.33926789278354,49.962009008585156,-42.644957457066994
Gaia DR3 2807379298285341696,-25.55256572419335,53.005745675643844,-44.87121865170492
Gaia DR3 2807456779494620928,-22.62129449320738,43.2684992880331,-37.67791052829758
Gaia DR3 2807539376010425728,-18.58824373795448,34.93097666656035,-30.154206797158672
Gaia DR3 2807539376016115584,-18.947767137909686,35.605823710223284,-30.73705572218421
Gaia DR3 2807540170579701120,-19.04993624223451,35.705075802732466,-30.762727711861835
Gaia DR3 2807615001794258688,-19.523933210068254,34.93933020913945,-30.03816175345419
Gaia DR3 2807615109169303680,-28.393501386506195,51.064350389107496,-43.90454541435944
Gaia DR3 2807673417645121408,-14.505621479315092,26.971077474933562,-22.7897783401501
Gaia DR3 2807687883095124992,-8.89552446833552,16.121896838932603,-13.662921516279425
Gaia DR3 2807746397729395968,-16.008951663105925,31.176619149820404,-26.209784539056507
Gaia DR3 2807838241310095104,-20.000805222791264,39.051500732872924,-32.37822734287259
Gaia DR3 2807991623182114688,-21.04067810770237,39.5926565816822,-32.07454494489755
Gaia DR3 2794967667433081984,-18.12798691008072,34.72427706578862,-37.594304365461866
Gaia DR3 2795033088374832512,-26.304606068883025,51.55704755584608,-54.86699672056126
Gaia DR3 2782403101385639168,-23.866719549453975,45.85029173247447,-53.625238745233105
Gaia DR3 2782423820307949952,-6.951858752467553,12.889628807098156,-15.069472600469656
Gaia DR3 2795074045183506304,-24.687589682177425,44.73899183779642,-49.68164709716788
Gaia DR3 2782486836068110464,-24.062112223790052,45.64537388100783,-52.874708127187475
Gaia DR3 2782515732608032128,-13.364620879407848,25.242390867231716,-28.867618481367398
Gaia DR3 2795176123670127488,-19.617319402390827,35.90116931787668,-38.90235520500855
Gaia DR3 2795375689326196864,-19.9458428322519,36.20077718295116,-38.93789601762675
Gaia DR3 2795385138254229760,-12.925548270850621,23.85069972130286,-25.482790531846078
Gaia DR3 2795445095997674752,-17.126212488332264,31.487564036257947,-33.424684749183854
Gaia DR3 2799000160687558144,-12.074797726110841,27.150490066638394,-27.275842939666923
Gaia DR3 2799053590080742912,-18.998689020188195,42.462822775631025,-42.1115950821106
Gaia DR3 2799053590081266560,-19.017696179586924,42.505986622386715,-42.15368864589887
Gaia DR3 2799119453403880960,-20.629436532231253,46.83174216624609,-45.88964759022254
Gaia DR3 2795637441812939520,-12.24853938865058,26.048307605857083,-27.6888197908861
Gaia DR3 2795672587529629952,-19.960860845182463,41.433621831708194,-43.83293184561223
Gaia DR3 2795718118478658304,-17.91394475971324,37.63373651201357,-39.61657134973173
Gaia DR3 2799227106759461888,-15.727546581369676,34.577502522566476,-33.66706443392047
Gaia DR3 2795758010135479936,-24.21214296145181,49.24494690423022,-52.1370407871571
Gaia DR3 2799268578963728256,-24.50818451668138,52.95416986671141,-50.90432894236788
Gaia DR3 2799307474187562624,-17.170639496266773,39.64938895838143,-38.53089229856133
Gaia DR3 2799321630399767040,-17.739753966203864,41.3891328751361,-40.07836952068018
Gaia DR3 2795885931440878976,-26.11658132785177,52.568508906928116,-54.08121697921081
Gaia DR3 2795918538832477696,-20.479175985824284,45.16173428610661,-46.580900357303555
Gaia DR3 2779303814329612672,-16.720028253851872,31.028466081255118,-40.91512110244989
