designation,    u,    v,    w
Gaia DR3 2780964734018270080,-9.154140540540336,18.034572477929746,-20.907242807081342
Gaia DR3 2800690281858225408,-12.77996263351188,28.25319405496912,-26.040927244380818
Gaia DR3 2800716532698390144,-25.265141438772535,55.30630800602641,-50.84460121460503
Gaia DR3 2793543245823732480,-17.264217712896354,40.94970812338755,-45.093019181843246
Gaia DR3 2800823799506215168,-5.2855746782168715,11.271196418188813,-10.295540162184672
Gaia DR3 2797502969447956352,-14.039877913100751,32.56438519002148,-32.768970556447606
Gaia DR3 2797502965152979072,-13.983180085208797,32.435325083836645,-32.63958559377973
Gaia DR3 2800939767918392576,-26.479128562238554,55.59444381621056,-49.39709499799409
Gaia DR3 2801114590267248128,-18.727649274368687,40.72480778565691,-35.88596292634111
Gaia DR3 2801124623310817536,-11.955050672484013,26.31601314647157,-23.194379750389032
Gaia DR3 2794018514021041664,-8.21222854106313,19.629376927951018,-21.003493621226127
Gaia DR3 2801216123294143360,-5.486212906235362,11.8609154919047,-10.255490981048863
Gaia DR3 2794119428571860096,-23.179535898256777,51.1371794920025,-54.65638190212383
Gaia DR3 2794139151062203392,-17.76321871603203,40.26686810888427,-42.8949126034296
Gaia DR3 2794173098483182208,-21.644355260474114,48.124304703376694,-51.00747863389537
Gaia DR3 2794271603558181376,-21.677282474883114,51.28539231121988,-53.44504835105903
Gaia DR3 2794271607853197824,-21.784389926824417,51.536726389484315,-53.70858643627239
Gaia DR3 2794420351160369920,-6.9253924070893245,16.267244013332657,-16.81372499353322
Gaia DR3 2794557858833375104,-16.87071865428245,33.74040216762185,-37.97212683131769
Gaia DR3 2794596547898843904,-21.017934012476275,41.20919707480178,-46.039284243079365
Gaia DR3 2794613899566711936,-25.28730873273242,49.955781979351826,-55.40351051951729
Gaia DR3 2794629876844945024,-18.439843166975628,35.092233508982595,-39.63153915743278
Gaia DR3 2794635374403153920,-25.331421397271924,47.12319934315403,-53.32624336017924
Gaia DR3 2794719864999713664,-16.662964165425684,32.20655810863493,-35.486231905242526
Gaia DR3 2794879672143132416,-24.21905042315322,48.903757867124554,-53.11951274291407
Gaia DR3 2794917914531864064,-24.445945208440435,47.19963552795056,-51.6729616409477
Gaia DR3 430215024238708608,-37.82833111962185,64.13520170228665,-1.5105574922569929
Gaia DR3 430230589200013056,-38.820917620737674,66.5313517728625,-1.3704181800617299
Gaia DR3 430262367650058752,-25.214726592146388,42.16151397877783,-0.9774737841684171
Gaia DR3 430268522348053632,-32.42504371318847,54.30544101765475,-1.0228455512063412
Gaia DR3 4688756084117388544,19.98643426710025,-27.661937206253526,-32.87754653762677
Gaia DR3 4688783606267612928,28.394733087647072,-39.763588624655625,-47.52226808696564
Gaia DR3 430724235559561856,-29.32778684137477,48.7877591648861,0.09358450630675819
Gaia DR3 430724235562514688,-29.24260512300782,48.64565190429674,0.09454473284661802
Gaia DR3 4688798380955150720,28.850347021174603,-39.964737613276164,-47.95113808699891
Gaia DR3 430546767510593920,-19.982590683053676,34.741098436709116,-0.21066837944142947
Gaia DR3 430947092821715968,-29.798984193144086,50.76795048821495,0.1597467717870451
Gaia DR3 430947195900929024,-29.75053267873554,50.68505047155984,0.16180823429843372
Gaia DR3 430558965219003776,-36.77865115315444,63.377978911559694,-0.1916324482048566
Gaia DR3 430569444939189376,-33.23714845279465,57.40156814236299,-0.16165908293590547
Gaia DR3 430986262924377216,-34.2832868551086,58.320648027106785,0.8807464683748876
Gaia DR3 431218324294012928,-35.512463139455676,61.999539578859654,2.709898055500588
Gaia DR3 430459184539975680,-34.470482644895164,60.98699642773428,-0.939673126857894
Gaia DR3 430461830239712512,-34.61161616349827,61.135706262462726,-0.7989030922095104
Gaia DR3 431050034600362240,-30.062177109510863,52.48572779193998,1.040829390185678
Gaia DR3 430472894075422848,-27.793341180193675,49.40051643651894,-0.6246909002353576
Gaia DR3 430881981118821248,-24.606160388634443,41.09868235270231,0.5544202973949623
Gaia DR3 430690219417639680,-32.98876146965312,54.91326747185725,-0.243654064829947
Gaia DR3 430690734813706496,-32.99494071282702,54.90774573708355,-0.20873060420982625
Gaia DR3 421234281977001344,-33.85158095037604,59.1338024640683,-8.817464209918622
Gaia DR3 421241085205158144,-20.581101933701685,35.85268650481255,-5.272288367495948
Gaia DR3 421317810502521472,-35.66004349911508,63.83910958256723,-8.779862129300781
Gaia DR3 421390240829409920,-36.24383989057901,66.83713983566895,-9.546618222797601
Gaia DR3 421421130234828032,-20.955320016832527,38.37645232231567,-5.280693105851537
Gaia DR3 421216105677334272,-29.320789774825286,53.05892705721356,-7.567610799832689
Gaia DR3 2527766172716959360,-8.38430997225645,25.81070977672038,-64.63094979487806
Gaia DR3 2527798711389815296,-6.554000989756425,17.75088478539515,-45.58025477522021
Gaia DR3 2527838740485056768,-6.187963428204889,16.08825162054,-40.79006098430309
Gaia DR3 2527863067179694976,-5.939018302658395,17.519380320498094,-43.95406437319253
Gaia DR3 2527923265441357440,-7.440522619679003,20.743274692602718,-51.08825983525755
Gaia DR3 2528082144871347584,-6.604236452347383,20.15974171351055,-49.22927437342305
Gaia DR3 2528126881250726144,-6.29687947540103,18.593566240687146,-44.96477831666608
Gaia DR3 2528138563561711360,-6.543138395312452,20.798421190042017,-50.2620549381396
Gaia DR3 2528227035593363840,-2.6508097882129062,6.897611547455787,-17.417794393650528
Gaia DR3 2528296583999146240,-8.494779703038633,22.9482594061895,-56.72498443417928
Gaia DR3 2528450481266814464,-10.848320222465178,26.078250929954763,-63.45154061718558
Gaia DR3 2528464156442743936,-8.381347815619328,18.604755752354937,-45.829086210485
Gaia DR3 2528464156442744192,-8.344388657838525,18.522152093007676,-45.62971348628799
Gaia DR3 2523214160219164032,-10.211366896506112,24.195001306306075,-74.40585885052792
Gaia DR3 2528502192673544960,-11.293700705737605,29.973376062568462,-72.87819720671536
Gaia DR3 2523251131297733632,-8.004011875370509,17.703245331548494,-54.224957341052566
