Sol                  ranks  141 of  601 stars in decreasing density
Sol                  ranks  370 of  601 stars in decreasing residuals
Sol                  ranks   43 of   77 stars with |v| within 1.250000


           Gaia id            |   rho   |    D    |    u     |    v     |    w     |    U     |    V     |    W     
                              |         |         |   [pc]   |   [pc]   |   [pc]   |  [km/s]  |  [km/s]  |  [km/s]  
------------------------------------------------------------------------------------------------------------------------
Gaia DR3 3479221035031532416  |2.241e-01|8.012e-01| 4.227e+00|-1.256e+01| 7.603e+00|-4.658e+01|-5.795e+01|-8.605e-01
Gaia DR3 3390215809279343104  |2.652e+00|5.308e-01|-3.782e+01|-6.165e+00|-8.814e+00| 3.563e+00| 1.590e+01| 4.081e+00
Gaia DR3 992675553238598400   |1.284e+00|5.989e-01|-2.277e+01| 6.984e+00| 8.544e+00| 4.555e+01|-1.341e+00|-1.653e+00
Gaia DR3 6288325222245417856  |5.804e-02|1.004e+00| 8.441e+00|-7.002e+00| 8.812e+00|-9.002e+01|-6.153e+01|-1.500e+01
Gaia DR3 3378112793303551872  |1.458e+00|5.864e-01|-2.655e+01|-6.073e+00| 3.543e+00| 3.987e+01| 2.323e+00|-9.255e+00
Gaia DR3 656328319169788032   |1.319e-01|8.752e-01|-1.452e+01|-7.112e+00| 8.502e+00|-8.020e+01|-7.678e-01| 1.140e+01
Gaia DR3 6402670514524710912  |3.294e-01|7.514e-01| 2.434e+01|-1.466e+01|-2.728e+01| 4.092e+01|-1.317e+01| 3.035e+01
Gaia DR3 1773581078159763456  |5.043e+00|4.768e-01| 1.018e+01| 2.785e+01|-1.426e+01| 2.054e+01| 2.192e+01|-2.938e-01
Gaia DR3 576949798755602560   |1.028e+00|6.216e-01|-1.387e+01|-1.497e+01| 1.155e+01|-4.292e+01|-2.890e+01|-2.636e+00
Gaia DR3 1896396703077703936  |1.968e+00|5.578e-01| 3.517e+00| 2.519e+01|-9.024e+00| 2.435e+01| 2.825e+01| 3.033e-02
Gaia DR3 4590758227641991424  |2.063e+00|5.534e-01| 7.955e+00| 1.224e+01| 5.985e+00| 8.047e+00| 9.900e+00| 1.488e+01
Gaia DR3 1552284674943267072  |3.984e+00|4.959e-01|-1.814e+00| 8.030e+00| 1.952e+01| 2.796e+00|-1.990e+01|-2.221e+00
Gaia DR3 3526420114274019456  |8.221e+00|4.395e-01| 5.548e+00|-1.129e+01| 1.322e+01|-1.864e+01|-8.858e+00| 1.959e-01
Gaia DR3 5795907015613389952  |7.703e-01|6.522e-01| 2.365e+01|-2.379e+01|-6.914e+00|-2.824e+01| 1.385e+01| 1.136e+01
Gaia DR3 233866333687097344   |1.211e+01|4.121e-01|-3.194e+01| 1.473e+01|-1.791e+00|-2.683e+01|-5.087e+00| 6.942e+00
Gaia DR3 4301201801807687680  |5.320e-01|6.937e-01| 1.595e+01| 1.685e+01|-3.027e+00|-2.590e+00|-3.769e+01| 1.462e+01
